city,region,country,loc,org,postal,timezone,hostname
Warsaw,Mazovia,PL,"52.2269,20.9997",,02-001,Europe/Warsaw,
Warsaw,Mazovia,PL,"52.2269,20.9997",,02-001,Europe/Warsaw,
Warsaw,Mazovia,PL,"52.2269,20.9997",,02-001,Europe/Warsaw,
Warsaw,Mazovia,PL,"52.2269,20.9997",,02-001,Europe/Warsaw,
Kyiv,Kyiv City,UA,"50.4547,30.5238",,03027,Europe/Kyiv,
Bucharest,București,RO,"44.4323,26.1063",AS3223 Voxility LLP,050011,Europe/Bucharest,
Chernivtsi,Chernivtsi,UA,"48.2904,25.9324",AS48323 PP Neiron Systems,58000,Europe/Kyiv,
Chernivtsi,Chernivtsi,UA,"48.2904,25.9324",AS48323 PP Neiron Systems,58000,Europe/Kyiv,
Ankara,Ankara,TR,"39.9199,32.8543",AS47894 VERITEKNIK BILISIM BASIN VE YAYIN LIMITED SIRKETI,06420,Europe/Istanbul,
Moscow,Moscow,RU,"55.7522,37.6156",AS209641 I-SERVERS LTD,101000,Europe/Moscow,vds2412950.my-ihor.ru
Stockholm,Stockholm,SE,"59.3500,17.9167",AS6206 Netrouting B.V.,168 65,Europe/Stockholm,web2.wordoriginhistory.biz
Tseung Kwan O,Sai Kung,HK,"22.3279,114.2499","AS7979 Servers.com, Inc.",999077,Asia/Hong_Kong,
Tseung Kwan O,Sai Kung,HK,"22.3279,114.2499","AS7979 Servers.com, Inc.",999077,Asia/Hong_Kong,
Lelystad,Flevoland,NL,"52.5083,5.4750","AS7979 Servers.com, Inc.",8224,Europe/Amsterdam,
Novosibirsk,Novosibirsk Oblast,RU,"55.0344,82.9434",AS41066 JSC RTComm.RU,630000,Asia/Novosibirsk,
Lelystad,Flevoland,NL,"52.5083,5.4750",AS60781 LeaseWeb Netherlands B.V.,8224,Europe/Amsterdam,
Lelystad,Flevoland,NL,"52.5083,5.4750",AS60781 LeaseWeb Netherlands B.V.,8224,Europe/Amsterdam,hosted-by.leaseweb.com
Dallas,Texas,US,"32.7831,-96.8067",AS46549 Global Virtual Opportunities,75201,America/Chicago,gvo23865.gvodatacenter.com
Hyderābād,Telangana,IN,"17.3840,78.4564","AS16509 Amazon.com, Inc.",500001,Asia/Kolkata,
