hostname,city,region,country,loc,org,postal,timezone,anycast
scan-01n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01o.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-00a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-13.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-14.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-15.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius,
